Id,Crop_name,Variety,Growth_Stages,GDD_Req,AGDD,Stage_Completion,Kc,Base _Temp,Duration_in_Days_1,Cpe_ratio,Duration_in_Days,Cucmulative_days,ideal_min,ideal_max,ideal_meanrh
142,Gram,Medium,Early Vegetative (EV),172,270,270,0.75,10,90,1,15,25,20,28,60
143,Gram,Medium,Late Vegetative (LV),412,682,682,0.75,10,90,0.75,20,45,20,27,60
144,Gram,Medium,Flowering (F),238,920,920,1.1,10,90,1,12,57,20,30,60
145,Gram,Medium,Development (D),369,1289,1289,0.5,10,90,0.75,33,90,20,30,55
146,Gram,Long,Seedling (S),98,98,98,0.45,10,110,1.25,10,10,28,35,65
147,Gram,Long,Early Vegetative (EV),227,325,325,0.75,10,110,1,15,25,20,28,60
148,Gram,Long,Late Vegetative (LV),438,763,763,0.75,10,110,0.75,30,55,20,27,60
149,Gram,Long,Flowering (F),238,1001,1001,1.1,10,110,1,12,67,20,30,60
150,Gram,Long,Development (D),511,1512,1512,0.5,10,110,0.75,43,110,20,30,55
151,Mustard,Short,Seedling (S),232,232,232,0.35,5,100,1.25,7,7,25,30,65
152,Mustard,Short,Early Vegetative (EV),313,545,545,0.75,5,100,1,15,22,15,25,60
153,Mustard,Short,Late Vegetative (LV),413,958,958,0.75,5,100,0.75,30,52,15,25,60
154,Mustard,Short,Flowering (F),289,1247,1247,1.1,5,100,1,15,67,15,25,60
155,Mustard,Short,Development (D),776,2023,2023,0.6,5,100,0.75,33,100,22,32,55
156,Mustard,Medium,Seedling (S),232,232,232,0.35,5,120,1.25,9,9,25,30,65
157,Mustard,Medium,Early Vegetative (EV),313,545,545,0.75,5,120,1,18,27,15,25,60
158,Mustard,Medium,Late Vegetative (LV),613,1158,1158,0.75,5,120,0.75,32,59,15,25,60
159,Mustard,Medium,Flowering (F),289,1447,1447,1.1,5,120,1,15,74,15,25,60
160,Mustard,Medium,Development (D),887,2334,2334,0.6,5,120,0.75,46,120,22,32,55
161,Mustard,Long,Seedling (S),232,232,232,0.35,5,140,1.25,9,9,25,30,65
162,Mustard,Long,Early Vegetative (EV),313,545,545,0.75,5,140,1,24,33,15,25,60
163,Mustard,Long,Late Vegetative (LV),774,1319,1319,0.75,5,140,0.75,37,70,15,25,60
164,Mustard,Long,Flowering (F),319,1638,1638,1.1,5,140,1,17,87,15,25,60
165,Mustard,Long,Development (D),976,2614,2614,0.6,5,140,0.75,53,140,22,32,55
166,Chilli,Medium,Seedling (S),168,168,168,0.45,11,65,1.25,15,15,22,34,65
167,Chilli,Medium,Early Vegetative (EV),212,380,380,0.45,11,65,0.75,10,25,22,28,70
168,Chilli,Medium,Late Vegetative (LV),363,743,743,0.75,11,65,0.75,10,35,22,28,65
169,Chilli,Medium,Flowering (F),192,935,935,1.15,11,65,1,11,46,22,28,65
170,Chilli,Medium,Development (D),478,1413,1413,0.8,11,65,1,20,66,22,28,65
171,Banana,Medium,Seedling (S),555,555,555,0.5,14,330,0.75,30,30,16,38,75
172,Banana,Medium,Early Vegetative (EV),1047,1602,1602,0.5,14,330,1,45,75,16,38,75
173,Banana,Medium,Late Vegetative (LV),1466,3068,3068,1.1,14,330,1,90,165,16,38,70
174,Banana,Medium,Flowering (F),1266,4334,4334,1.1,14,330,1,50,215,16,38,75
175,Banana,Medium,Development (D),345,4679,4679,1,14,330,1,120,335,16,38,65
